Contrato;Frente de Servico;Tipo de Obra;Previsao de Inicio;Status Projeto Executivo - Linear;Status Projeto Executivo - Hidromecanico;Status Projeto Executivo - Eletrica;Status Projeto Executivo - Civil;Status Entrada de Energia;Coordenacao;Material Edital ;Diametro Edital (mm);Metodo Edital;Extensao Edital (m);Material;Diametro Executivo (mm);Metodo Executivo;Extensao Executivo (m);Vazao Edital (l/s);Altura Manometrica Edital;Potencia Edital;Economias Contempladas;Escopo
Pacote 28 - 01089/25;LR SN40;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PEAD;90;;161.71;;;;;;;;;TR
Pacote 28 - 01089/25;LR SN40;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PVC;200;;45.72;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5926;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PEAD;90;;157.85;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5926;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PVC;200;;69.67;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5938;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PEAD;160;;267.14;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5938;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PVC;200;;24.81;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5935;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PEAD;90;;65.34;;;;;;;;;TR
Pacote 28 - 01089/25;LR 5935;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;EMN2;PVC;200;;2;;;;;;;;;TR
Pacote 28 - 01089/25;EEE Jardim das Colinas;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;3;66.15;10.13;;TR
Pacote 28 - 01089/25;EEE Jardim San Diego;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;3;85.94;10.13;;TR
Pacote 28 - 01089/25;EEE Parque Sao Rafael;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;8.5;89.26;20.27;;TR
Pacote 28 - 01089/25;EEE Bimbati;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;34.09;15;;TR
Pacote 28 - 01089/25;EEE Dartora;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;19.4;7.5;;TR
Pacote 28 - 01089/25;EEE Laranjeiras I;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;9;40;12.5;;TR
Pacote 28 - 01089/25;EEE Laranjeiras II;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;7;50;10;;TR
Pacote 28 - 01089/25;EEE Nova Caieiras IV;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;2.5;25.34;6.53;;TR
Pacote 28 - 01089/25;EEE SN40;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;1.7;26.35;7.5;;TR
Pacote 28 - 01089/25;EEE 5926;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;2.88;6.93;3;;TR
Pacote 28 - 01089/25;EEE 5938;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;15.18;7.37;5;;TR
Pacote 28 - 01089/25;EEE 5935;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5.8;15.14;5;;TR
Pacote 09 - 00888/24;Jardim Japao (Trecho 1a);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Concreto;300;MND;120;;;;;;;;;TR
Pacote 09 - 00888/24;Jardim Japao (Trechos 1b, 2, 3);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;144;;;;;;;;;TR
Pacote 09 - 00888/24;CT Estrada de Sao Bento;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Nao indicado;400;VCA;821.94;;;;;;;;;TR
Pacote 09 - 00888/24;CT Estrada de Sao Bento;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Nao indicado;300;VCA;7.77;;;;;;;;;TR
Pacote 09 - 00888/24;CT Jaguaribe - Travessia;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Nao indicado;400;MND;44.59;;;;;;;;;TR
Pacote 09 - 00888/24;Bairro Nova Canaa - Morada Feliz;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;3017.62;;;;;;;;;TR
Pacote 09 - 00888/24;Bairro Nova Canaa - Morada Feliz;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;648.49;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada do Mandi-01 Jd. Odete;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;212;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada do Mandi-01 Jd. Odete;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;207;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada do Pinheirinho;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;400;VCA;167;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada do Pinheirinho;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;8.5;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada Santa Isabel - Jd. Nascente;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Nao indicado;200;VCA;731.06;;;;;;;;;TR
Pacote 09 - 00888/24;Estrada Santa Isabel - Jd. Nascente;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;122.99;;;;;;;;;TR
Pacote 09 - 00888/24;Arujazinho II (Redes Coletoras);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;9451.18;;;;;;;;;TR
Pacote 09 - 00888/24;Arujazinho II (Trechos 36b e 46);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Concreto;300;MND;306;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Sao Joao;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;1206.33;;;;;;;;;TR
Pacote 09 - 00888/24;CTS 9 de Julho;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;1267.43;;;;;;;;;TR
Pacote 09 - 00888/24;CTS 9 de Julho;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;29.85;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 11 (CTS 9 de Julho);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;46.82;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 11 (CTS 9 de Julho);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;300;VCA;58.78;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (CTS Lourenco);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;79.37;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (CTS Lourenco);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;29.15;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Jaceguai;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;517.8;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Jaceguai;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;1165.28;;;;;;;;;TR
Pacote 09 - 00888/24;CT Coronel Emidio Piedade;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Aco/Concreto;1200;MND-Liner;11;;;;;;;;;TR
Pacote 09 - 00888/24;CT Coronel Emidio Piedade;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;598;;;;;;;;;TR
Pacote 09 - 00888/24;CT Coronel Emidio Piedade;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;600;VCA;3.5;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 1 (CT Emidio Piedade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;92;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 1 (CT Emidio Piedade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;600;VCA;4;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 3 (CT Emidio Piedade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;52.5;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 3 (CT Emidio Piedade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;600;VCA;3.5;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Rangel Pestana;Linear;01/06/2025;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;800;MND;333.39;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Rangel Pestana;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;1004.39;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Rangel Pestana;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;1216.02;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (CTS Rangel Pestana);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;31.43;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (CTS Rangel Pestana);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;80.78;;;;;;;;;TR
Pacote 09 - 00888/24;CT Liberdade;Linear;01/03/2025;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;611.93;;;;;;;;;TR
Pacote 09 - 00888/24;CT Liberdade;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;1553.23;;;;;;;;;TR
Pacote 09 - 00888/24;CT Liberdade;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;291.99;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 9 (CT Liberdade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;182.67;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 9 (CT Liberdade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;9.67;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 12 (CT Liberdade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;73.48;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 12 (CT Liberdade);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;34.86;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Senador Fel­cio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;373.9;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Senador Fel­cio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;794.56;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Sacoma Montante;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;400;;;;;;;;;TR
Pacote 09 - 00888/24;CTS Sacoma Montante;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;400;VCA;157.5;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 2 (Sacoma Montante);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;205;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 2 (Sacoma Montante);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;300;VCA;70;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 2 (Sacoma Montante);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;26.5;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 3 (Sacoma Montante);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;102;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 3 (Sacoma Montante);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;22.8;;;;;;;;;TR
Pacote 09 - 00888/24;RC-TA 02- BRAS-01 a 03;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;600;MND;376.59;;;;;;;;;TR
Pacote 09 - 00888/24;RC-TA 02- BRAS-01 a 03;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;400;VCA;332.72;;;;;;;;;TR
Pacote 09 - 00888/24;RC-TA 02- BRAS-01 a 03;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;450;VCA;13;;;;;;;;;TR
Pacote 09 - 00888/24;Glauber Rocha (Sifao);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;149.8;;;;;;;;;TR
Pacote 09 - 00888/24;Glauber Rocha (Sifao);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;400;VCA;4.5;;;;;;;;;TR
Pacote 09 - 00888/24;Glauber Rocha (Sifao);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;500;MND;125.4;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Alfredo Passaro;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;170;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Alfredo Passaro;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;42;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Oratorio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;460.9;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Oratorio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;244;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Coxi/Baltazar/Tangua;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;211.57;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Coxi/Baltazar/Tangua;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;57.8;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Coxi/Baltazar/Tangua;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;300;VCA;2;;;;;;;;;TR
Pacote 09 - 00888/24;Rua Coxi/Baltazar/Tangua;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;Ferro Fundido;300;VCA;14.54;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 1-1 (TA-10);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;156.94;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 1-1 (TA-10);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;37.19;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (TA-10);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;62.96;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao 4 (TA-10);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;11.56;;;;;;;;;TR
Pacote 09 - 00888/24;Bacia TA-15 (Interligac„es);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;300;VCA;126.91;;;;;;;;;TR
Pacote 09 - 00888/24;Bacia TA-15 (Interligac„es);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;40;;;;;;;;;TR
Pacote 09 - 00888/24;Bacia TA-15 (Interligac„es);Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;12;;;;;;;;;TR
Pacote 09 - 00888/24;CT Marginal do Oratorio;Linear;;SEM OBJECAO COM RESSALVAS;;;;;;PVC;300;VCA;277.67;PVC;300;VCA;81.11;;;;;TR
Pacote 09 - 00888/24;CT Marginal do Oratorio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;400;VCA;327.32;PVC;400;VCA;700.03;;;;;TR
Pacote 09 - 00888/24;CT Marginal do Oratorio;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;400;MND;861.28;PEAD;400;MND;17.28;;;;;TR
Pacote 09 - 00888/24;CT SEC IV;Linear;;COM OBJECAO;;;;;;PEAD;300;MND;818.39;PEAD;300;MND;329.66;;;;;TR
Pacote 09 - 00888/24;CT SEC IV;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;300;VCA;297;VCA;300;VCA;822.66;;;;;TR
Pacote 09 - 00888/24;Interligacao SP-TA02-0065;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;19.34;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao SP-TA02-0065;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;243.54;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao SP-TA08-0124;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PVC;200;VCA;122.46;;;;;;;;;TR
Pacote 09 - 00888/24;Interligacao SP-TA08-0124;Linear;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;PEAD;300;MND;265.24;;;;;;;;;TR
Pacote 09 - 00888/24;EEE1 Arujazinho II;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;7.1;17.4;;;TR
Pacote 09 - 00888/24;EEE2 Arujazinho II;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;10.45;63.17;;;TR
Pacote 09 - 00888/24;EEE Serra Escalvada;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;16.23;;;TR
Pacote 09 - 00888/24;EEE Taiuva;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;14.64;;;TR
Pacote 09 - 00888/24;EEE Paulistania;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;7.39;;;TR
Pacote 09 - 00888/24;EEE Dinÿ Silveira;Localizada;;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;Nao elaborado;;;;;;;;;;5;49.86;;;TR
